id,item_name,control_id,quantity,unit,supplier,location,stock_status,condition_status,remarks,laboratory,low_stock_threshold,created_at
300,Sterile Hypodermic Syringe,N/A,32,pcs,N/A,Chemistry Laboratory,In Stock,Available,"3ml, Single use|\r\n9pcs",Chemistry Laboratory,1,2026-01-04 09:48:02.4158+00
301,Burette Clamp,N/A,8,pcs,N/A,Chemistry Laboratory,In Stock,Available,,Chemistry Laboratory,1,2026-01-04 09:48:02.4158+00
302,Wire Gauze,N/A,11,pcs,N/A,Chemistry Laboratory,In Stock,Available,21 pcs USED,Chemistry Laboratory,1,2026-01-04 09:48:02.4158+00
303,Evaporating Dish,N/A,7,pcs,N/A,Chemistry Laboratory,In Stock,Available,18pcs,Chemistry Laboratory,1,2026-01-04 09:48:02.4158+00
304,Petri Dish,PYREX,7,pcs,N/A,Chemistry Laboratory,In Stock,Available,"Missing: 1\r\nBroken cover plate, for replacement: 8pcs",Chemistry Laboratory,1,2026-01-04 09:48:02.4158+00
306,Test tubes (25x150mm),PYREX,92,pcs,N/A,Chemistry Laboratory,In Stock,Available,0,Chemistry Laboratory,10,2026-01-04 09:48:02.4158+00
307,Test tubes (18x150mm),N/A,1,pcs,N/A,Chemistry Laboratory,In Stock,Available,,Chemistry Laboratory,1,2026-01-04 09:48:02.4158+00
308,Test tubes (25x200mm),N/A,4,pcs,N/A,Chemistry Laboratory,In Stock,Available,0,Chemistry Laboratory,2,2026-01-04 09:48:02.4158+00
309,Test tube Holder,N/A,8,pcs,N/A,Chemistry Laboratory,In Stock,Available,11pcs,Chemistry Laboratory,1,2026-01-04 09:48:02.4158+00
310,Tripod,N/A,8,pcs,N/A,Chemistry Laboratory,In Stock,Available,,Chemistry Laboratory,1,2026-01-04 09:48:02.4158+00
312,Erlenmyer Flask (250mL),N/A,7,pcs,N/A,Chemistry Laboratory,In Stock,Available,0,Chemistry Laboratory,3,2026-01-04 09:48:02.4158+00
313,Erlenmyer Flash (500mL),N/A,1,pcs,N/A,Chemistry Laboratory,In Stock,Available,2,Chemistry Laboratory,1,2026-01-04 09:48:02.4158+00
314,Glass funnel,N/A,8,pcs,N/A,Chemistry Laboratory,In Stock,Available,16pcs (75mm)\r\n2pcs (60mm),Chemistry Laboratory,1,2026-01-04 09:48:02.4158+00
315,Beaker (100mL),N/A,7,pcs,N/A,Chemistry Laboratory,In Stock,Available,0,Chemistry Laboratory,3,2026-01-04 09:48:02.4158+00
316,Beaker (250mL),N/A,7,pcs,N/A,Chemistry Laboratory,In Stock,Available,"Missing 1pc\r\nBroken, for replacement: 7pcs",Chemistry Laboratory,1,2026-01-04 09:48:02.4158+00
317,Bunsen Burner Gateway with Rubber Tube,N/A,8,pcs,N/A,Chemistry Laboratory,In Stock,Available,,Chemistry Laboratory,1,2026-01-04 09:48:02.4158+00
318,Analytical Balance`,WANT FA2204E,1,pcs,N/A,Chemistry Laboratory,In Stock,Available,2pcs,Chemistry Laboratory,1,2026-01-04 09:48:02.4158+00
319,Top Loading Balance,WANT WT20002N,1,pcs,N/A,Chemistry Laboratory,In Stock,Available,3pcs,Chemistry Laboratory,1,2026-01-04 09:48:02.4158+00
320,Hotplate with magnetic stirrer,BIOHASE MS-H-S,1,pcs,N/A,Chemistry Laboratory,In Stock,Available,,Chemistry Laboratory,1,2026-01-04 09:48:02.4158+00
321,Alcohol Thermometer,N/A,14,pcs,N/A,Chemistry Laboratory,In Stock,Available,"-10deg to 110deg : 7pcs\r\n-20deg to 150deg : 4pcs : Missing 1pc, Separate column, for repair\r\n-20deg to 110deg : 2pcs\r\n-10deg to 250deg : 1pc",Chemistry Laboratory,1,2026-01-04 09:48:02.4158+00
322,Dry Heat Oven,FAITHFUL 101-1AB,1,pcs,N/A,Chemistry Laboratory,In Stock,Available,,Chemistry Laboratory,1,2026-01-04 09:48:02.4158+00
323,Lead Acetate,n/a,0,g,n/a,Chemistry Laboratory,In Stock,Available,Missing 50g,Chemistry Laboratory,1,2026-01-04 09:48:02.4158+00
324,Sodium Hydroxide,N/A,0,g,N/A,Chemistry Laboratory,In Stock,Available,100g,Chemistry Laboratory,10,2026-01-04 09:48:02.4158+00
325,Benzoic Acid,N/A,0,g,N/A,Chemistry Laboratory,In Stock,Available,100g,Chemistry Laboratory,10,2026-01-04 09:48:02.4158+00
326,HDPE Bottle,N/A,10,pcs,N/A,Chemistry Laboratory,In Stock,Available,,Chemistry Laboratory,1,2026-01-04 09:48:02.4158+00
327,Petri Dish(s),N/A,2,pcs,N/A,Chemistry Laboratory,In Stock,Available,,Chemistry Laboratory,1,2026-01-04 09:48:02.4158+00
328,erlenmeyer flasks,N/A,24,pcs,N/A,Chemistry Laboratory,In Stock,Available,,Chemistry Laboratory,1,2026-01-04 09:48:02.4158+00
329,Volumetric flask,N/A,31,pcs,N/A,Chemistry Laboratory,In Stock,Available,1pc (da),Chemistry Laboratory,1,2026-01-04 09:48:02.4158+00
330,Wire gauge 5x5,N/A,20,pcs,N/A,Chemistry Laboratory,In Stock,Available,0,Chemistry Laboratory,4,2026-01-04 09:48:02.4158+00
331,Test tube brusk,N/A,12,pcs,N/A,Chemistry Laboratory,In Stock,Available,,Chemistry Laboratory,1,2026-01-04 09:48:02.4158+00
332,Test tube rack,n/A,10,pcs,N/A,Chemistry Laboratory,In Stock,Available,0,Chemistry Laboratory,2,2026-01-04 09:48:02.4158+00
333,Sodium Iodide,N/A,0,g,N/A,Chemistry Laboratory,In Stock,Available,50mL,Chemistry Laboratory,10,2026-01-04 09:48:02.4158+00
334,Methylene Blue,N/A,0,ml,N/A,Chemistry Laboratory,In Stock,Available,250ml,Chemistry Laboratory,10,2026-01-04 09:48:02.4158+00
335,Glucose,N/A,0,g,N/A,Chemistry Laboratory,In Stock,Available,100g,Chemistry Laboratory,10,2026-01-04 09:48:02.4158+00
336,Phenolphthalein,N/A,0,ml,N/A,Chemistry Laboratory,In Stock,Available,100mL,Chemistry Laboratory,10,2026-01-04 09:48:02.4158+00
337,Filter paper (125mm),N/A,0,g,N/A,Chemistry Laboratory,In Stock,Available,~100,Chemistry Laboratory,10,2026-01-04 09:48:02.4158+00
338,Litmus paper,N/A,0,g,N/A,Chemistry Laboratory,In Stock,Available,Blue and red expired,Chemistry Laboratory,10,2026-01-04 09:48:02.4158+00
339,"9"" Magnetic Cast Aluminum Torpedo Level","Stanley STHT42465-8, 229mm 9""",5,pcs,N/A,Civil Engineering Laboratory,In Stock,Available,,Civil Engineering Laboratory,1,2026-01-04 09:48:02.4158+00
340,Steel Measuring Tape (Construction Meter),"Stanley STHT30656-8, 5m/26'",5,pcs,N/A,Civil Engineering Laboratory,In Stock,Available,,Civil Engineering Laboratory,1,2026-01-04 09:48:02.4158+00
341,Fiber Glass Long Tape Measure,"Stanley 34-263, 50m/165'",5,pcs,N/A,Civil Engineering Laboratory,In Stock,Available,1 pc c/o Ma'am Kazel,Civil Engineering Laboratory,1,2026-01-04 09:48:02.4158+00
342,Abney Level,Sokkia,3,pcs,N/A,Civil Engineering Laboratory,In Stock,Available,,Civil Engineering Laboratory,1,2026-01-04 09:48:02.4158+00
343,Abney Level,Local,3,pcs,N/A,Civil Engineering Laboratory,In Stock,Available,,Civil Engineering Laboratory,1,2026-01-04 09:48:02.4158+00
344,Electronic Roller Planimeter,Sokkia PLANIX 7 (3651-70),1,pcs,N/A,Civil Engineering Laboratory,In Stock,Available,,Civil Engineering Laboratory,1,2026-01-04 09:48:02.4158+00
345,Electronic Roller Planimeter,Sokkia PLANIX 6 (3651-61),1,pcs,N/A,Civil Engineering Laboratory,In Stock,Available,,Civil Engineering Laboratory,1,2026-01-04 09:48:02.4158+00
346,Claw Hammer,"Stanley STHT51071-8, 450g/160z",5,pcs,N/A,Civil Engineering Laboratory,In Stock,Available,,Civil Engineering Laboratory,1,2026-01-04 09:48:02.4158+00
347,Geological Hammer (Rock Pick),N/A,5,pcs,N/A,Civil Engineering Laboratory,In Stock,Available,,Civil Engineering Laboratory,1,2026-01-04 09:48:02.4158+00
348,Total Station Theodolite,"TOPCON GM50 series, 5"" Reflectorless Single Displa",3,pcs,N/A,Civil Engineering Laboratory,In Stock,Available,,Civil Engineering Laboratory,1,2026-01-04 09:48:02.4158+00
349,Theodolite,"Dave White's SitePro DT-05, Accessories: Plumb Bob",3,pcs,N/A,Civil Engineering Laboratory,In Stock,Available,,Civil Engineering Laboratory,1,2026-01-04 09:48:02.4158+00
350,Automatic Level,"Sokkia B40-35, Accessories: Plumb Bob",3,pcs,N/A,Civil Engineering Laboratory,In Stock,Available,,Civil Engineering Laboratory,1,2026-01-04 09:48:02.4158+00
351,Range Pole,N/A,3,pcs,N/A,Civil Engineering Laboratory,In Stock,Available,,Civil Engineering Laboratory,1,2026-01-04 09:48:02.4158+00
352,Aluminum Tripod,Sokkia,3,pcs,N/A,Civil Engineering Laboratory,In Stock,Available,S/N: 200818301138,Civil Engineering Laboratory,1,2026-01-04 09:48:02.4158+00
353,Automatic Level,CST/Berger 55-SAL20ND,1,pcs,N/A,Civil Engineering Laboratory,In Stock,Available,,Civil Engineering Laboratory,1,2026-01-04 09:48:02.4158+00
354,Measuring Wheel,Sokkia,3,pcs,N/A,Civil Engineering Laboratory,In Stock,Available,,Civil Engineering Laboratory,1,2026-01-04 09:48:02.4158+00
355,Surveying Prism,Sokkia,3,pcs,N/A,Civil Engineering Laboratory,In Stock,Available,,Civil Engineering Laboratory,1,2026-01-04 09:48:02.4158+00
356,Surveying Prism,Topcon,3,pcs,N/A,Civil Engineering Laboratory,In Stock,Available,,Civil Engineering Laboratory,1,2026-01-04 09:48:02.4158+00
357,Extension Wire (3-gang),N/A,1,pcs,N/A,Civil Engineering Laboratory,In Stock,Available,,Civil Engineering Laboratory,1,2026-01-04 09:48:02.4158+00
358,Heavy Duty Extension Wire,N/A,2,pcs,N/A,Civil Engineering Laboratory,In Stock,Available,Yellow,Civil Engineering Laboratory,1,2026-01-04 09:48:02.4158+00
359,Mini Prism System,N/A,2,pcs,N/A,Civil Engineering Laboratory,In Stock,Available,,Civil Engineering Laboratory,1,2026-01-04 09:48:02.4158+00
360,Rebound Hammer,Schmidt 32176,1,pcs,N/A,Civil Engineering Laboratory,In Stock,Available,S/N: 21974,Civil Engineering Laboratory,1,2026-01-04 09:48:02.4158+00
361,Sound Level Meter,Wensn WS1361,1,pcs,N/A,Civil Engineering Laboratory,In Stock,Available,,Civil Engineering Laboratory,1,2026-01-04 09:48:02.4158+00
362,Infrared Thermometer,Benetech GM550,1,pcs,N/A,Civil Engineering Laboratory,In Stock,Available,,Civil Engineering Laboratory,1,2026-01-04 09:48:02.4158+00
363,Anemometer,Benetech GM816,1,pcs,N/A,Civil Engineering Laboratory,In Stock,Available,,Civil Engineering Laboratory,1,2026-01-04 09:48:02.4158+00
364,Digital Caliper,Mitutoyo 500-196-30,2,pcs,N/A,Civil Engineering Laboratory,In Stock,Available,"S/N: 20058864, 20059114",Civil Engineering Laboratory,1,2026-01-04 09:48:02.4158+00
365,Stopwatch,Casio HS-70W,2,pcs,N/A,Civil Engineering Laboratory,In Stock,Available,,Civil Engineering Laboratory,1,2026-01-04 09:48:02.4158+00
366,Specific Gravity Frame,Hi-Target,1,pcs,N/A,Civil Engineering Laboratory,In Stock,Available,,Civil Engineering Laboratory,1,2026-01-04 09:48:02.4158+00
367,Density Basket,N/A,1,pcs,N/A,Civil Engineering Laboratory,In Stock,Available,,Civil Engineering Laboratory,1,2026-01-04 09:48:02.4158+00
368,Pycnometer,N/A,1,pcs,N/A,Civil Engineering Laboratory,In Stock,Available,1000ml,Civil Engineering Laboratory,1,2026-01-04 09:48:02.4158+00
369,Sand Cone Apparatus,N/A,1,pcs,N/A,Civil Engineering Laboratory,In Stock,Available,"Gallon jug, cone, base plate",Civil Engineering Laboratory,1,2026-01-04 09:48:02.4158+00
370,Plastic Limit Set,N/A,1,pcs,N/A,Civil Engineering Laboratory,In Stock,Available,"Glass plate, evaporating dish, spatula, wash bottle, 6x moisture can",Civil Engineering Laboratory,1,2026-01-04 09:48:02.4158+00
371,Liquid Limit Device,N/A,1,pcs,N/A,Civil Engineering Laboratory,In Stock,Available,"Casagrande, grooving tool",Civil Engineering Laboratory,1,2026-01-04 09:48:02.4158+00
372,Shrinkage Limit Set,N/A,1,pcs,N/A,Civil Engineering Laboratory,In Stock,Available,"Monel dish, crystallizing dish, shrinkage prong plate, overflow dish, 25ml graduated cylinder, spatula",Civil Engineering Laboratory,1,2026-01-04 09:48:02.4158+00
373,Standard Proctor Set,N/A,1,pcs,N/A,Civil Engineering Laboratory,In Stock,Available,"Compaction mold (1/30 cu.ft.), compaction rammer (5.5 lbs)",Civil Engineering Laboratory,1,2026-01-04 09:48:02.4158+00
374,Modified Proctor Set,N/A,1,pcs,N/A,Civil Engineering Laboratory,In Stock,Available,"Compaction mold (1/13.33 cu.ft.), compaction rammer (10 lbs)",Civil Engineering Laboratory,1,2026-01-04 09:48:02.4158+00
375,Field Density Test Set,N/A,1,pcs,N/A,Civil Engineering Laboratory,In Stock,Available,"Sand cone, density plate, plastic jug",Civil Engineering Laboratory,1,2026-01-04 09:48:02.4158+00
376,Hydrometer Analysis Test Set,N/A,1,pcs,N/A,Civil Engineering Laboratory,In Stock,Available,"Hydrometer (151H), dispersion cup, stirrer, 1000ml graduated cylinder",Civil Engineering Laboratory,1,2026-01-04 09:48:02.4158+00
377,Sieve Shaker,N/A,1,pcs,N/A,Civil Engineering Laboratory,In Stock,Available,"8"" diameter",Civil Engineering Laboratory,1,2026-01-04 09:48:02.4158+00
378,Sieve,N/A,1,pcs,N/A,Civil Engineering Laboratory,In Stock,Available,"8"" diameter, various mesh sizes",Civil Engineering Laboratory,1,2026-01-04 09:48:02.4158+00
379,Sample Splitter,N/A,1,pcs,N/A,Civil Engineering Laboratory,In Stock,Available,"1/2"" chute width",Civil Engineering Laboratory,1,2026-01-04 09:48:02.4158+00
380,Sample Splitter,N/A,1,pcs,N/A,Civil Engineering Laboratory,In Stock,Available,"1"" chute width",Civil Engineering Laboratory,1,2026-01-04 09:48:02.4158+00
381,Los Angeles Abrasion Machine,N/A,1,pcs,N/A,Civil Engineering Laboratory,In Stock,Available,12 steel balls,Civil Engineering Laboratory,1,2026-01-04 09:48:02.4158+00
382,Slump Test Set,N/A,1,pcs,N/A,Civil Engineering Laboratory,In Stock,Available,"Slump cone, base plate, tamping rod, scoop",Civil Engineering Laboratory,1,2026-01-04 09:48:02.4158+00
383,Concrete Cylinder Mold,N/A,3,pcs,N/A,Civil Engineering Laboratory,In Stock,Available,"6"" x 12""",Civil Engineering Laboratory,1,2026-01-04 09:48:02.4158+00
384,Concrete Beam Mold,N/A,1,pcs,N/A,Civil Engineering Laboratory,In Stock,Available,"6"" x 6"" x 21""",Civil Engineering Laboratory,1,2026-01-04 09:48:02.4158+00
385,Air Entrainment Meter,N/A,1,pcs,N/A,Civil Engineering Laboratory,In Stock,Available,Type B,Civil Engineering Laboratory,1,2026-01-04 09:48:02.4158+00
386,Concrete Mixer,N/A,1,pcs,N/A,Civil Engineering Laboratory,In Stock,Available,1 bagger,Civil Engineering Laboratory,1,2026-01-04 09:48:02.4158+00
387,Vicat Apparatus,N/A,1,pcs,N/A,Civil Engineering Laboratory,In Stock,Available,"Plunger, needle, mold, glass plate",Civil Engineering Laboratory,1,2026-01-04 09:48:02.4158+00
388,Gillmore Needle Apparatus,N/A,1,pcs,N/A,Civil Engineering Laboratory,In Stock,Available,Initial and final needles,Civil Engineering Laboratory,1,2026-01-04 09:48:02.4158+00
389,Le Chatelier Flask,N/A,1,pcs,N/A,Civil Engineering Laboratory,In Stock,Available,,Civil Engineering Laboratory,1,2026-01-04 09:48:02.4158+00
390,Specific Gravity Bottle,N/A,1,pcs,N/A,Civil Engineering Laboratory,In Stock,Available,50ml,Civil Engineering Laboratory,1,2026-01-04 09:48:02.4158+00
391,Mortar Mixer,N/A,1,pcs,N/A,Civil Engineering Laboratory,In Stock,Available,5 qt.,Civil Engineering Laboratory,1,2026-01-04 09:48:02.4158+00
392,Flow Table,N/A,1,pcs,N/A,Civil Engineering Laboratory,In Stock,Available,"10""",Civil Engineering Laboratory,1,2026-01-04 09:48:02.4158+00
393,Compression Machine,N/A,1,pcs,N/A,Civil Engineering Laboratory,In Stock,Available,2000kN,Civil Engineering Laboratory,1,2026-01-04 09:48:02.4158+00
394,Flexural Testing Machine,N/A,1,pcs,N/A,Civil Engineering Laboratory,In Stock,Available,100kN,Civil Engineering Laboratory,1,2026-01-04 09:48:02.4158+00
395,CBR Test Set,N/A,1,pcs,N/A,Civil Engineering Laboratory,In Stock,Available,"Mold, collar, base plate, spacer disc, surcharge weight, penetration piston",Civil Engineering Laboratory,1,2026-01-04 09:48:02.4158+00
396,Direct Shear Test Apparatus,N/A,1,pcs,N/A,Civil Engineering Laboratory,In Stock,Available,"Shear box, load hanger, weights",Civil Engineering Laboratory,1,2026-01-04 09:48:02.4158+00
397,Unconfined Compression Test Apparatus,N/A,1,pcs,N/A,Civil Engineering Laboratory,In Stock,Available,"Compression machine, proving ring, dial gauge",Civil Engineering Laboratory,1,2026-01-04 09:48:02.4158+00
398,Triaxial Test Apparatus,N/A,1,pcs,N/A,Civil Engineering Laboratory,In Stock,Available,"Triaxial cell, load frame, pressure panel",Civil Engineering Laboratory,1,2026-01-04 09:48:02.4158+00
399,Consolidation Test Apparatus,N/A,1,pcs,N/A,Civil Engineering Laboratory,In Stock,Available,"Consolidometer, load hanger, weights",Civil Engineering Laboratory,1,2026-01-04 09:48:02.4158+00
400,Permeability Test Set,N/A,1,pcs,N/A,Civil Engineering Laboratory,In Stock,Available,"Permeameter, standpipe",Civil Engineering Laboratory,1,2026-01-04 09:48:02.4158+00
401,Dynamic Cone Penetrometer,N/A,1,pcs,N/A,Civil Engineering Laboratory,In Stock,Available,"Hammer, rod, cone",Civil Engineering Laboratory,1,2026-01-04 09:48:02.4158+00
402,Plate Load Test Set,N/A,1,pcs,N/A,Civil Engineering Laboratory,In Stock,Available,"Plates, jack, proving ring, dial gauges",Civil Engineering Laboratory,1,2026-01-04 09:48:02.4158+00
403,Schmidt Hammer,N/A,1,pcs,N/A,Civil Engineering Laboratory,In Stock,Available,Type N,Civil Engineering Laboratory,1,2026-01-04 09:48:02.4158+00
404,Rebar Locator,N/A,1,pcs,N/A,Civil Engineering Laboratory,In Stock,Available,,Civil Engineering Laboratory,1,2026-01-04 09:48:02.4158+00
405,Ultrasonic Pulse Velocity Tester,N/A,1,pcs,N/A,Civil Engineering Laboratory,In Stock,Available,,Civil Engineering Laboratory,1,2026-01-04 09:48:02.4158+00
406,Corrosion Meter,N/A,1,pcs,N/A,Civil Engineering Laboratory,In Stock,Available,,Civil Engineering Laboratory,1,2026-01-04 09:48:02.4158+00
407,Resistivity Meter,N/A,1,pcs,N/A,Civil Engineering Laboratory,In Stock,Available,,Civil Engineering Laboratory,1,2026-01-04 09:48:02.4158+00
408,Ground Penetrating Radar,N/A,1,pcs,N/A,Civil Engineering Laboratory,In Stock,Available,,Civil Engineering Laboratory,1,2026-01-04 09:48:02.4158+00
409,Inclinometer,N/A,1,pcs,N/A,Civil Engineering Laboratory,In Stock,Available,,Civil Engineering Laboratory,1,2026-01-04 09:48:02.4158+00
410,Tiltmeter,N/A,1,pcs,N/A,Civil Engineering Laboratory,In Stock,Available,,Civil Engineering Laboratory,1,2026-01-04 09:48:02.4158+00
411,Strain Gauge,N/A,1,pcs,N/A,Civil Engineering Laboratory,In Stock,Available,,Civil Engineering Laboratory,1,2026-01-04 09:48:02.4158+00
412,Load Cell,N/A,1,pcs,N/A,Civil Engineering Laboratory,In Stock,Available,,Civil Engineering Laboratory,1,2026-01-04 09:48:02.4158+00
413,LVDT,N/A,1,pcs,N/A,Civil Engineering Laboratory,In Stock,Available,,Civil Engineering Laboratory,1,2026-01-04 09:48:02.4158+00
414,Accelerometer,N/A,1,pcs,N/A,Civil Engineering Laboratory,In Stock,Available,,Civil Engineering Laboratory,1,2026-01-04 09:48:02.4158+00
415,Data Logger,N/A,1,pcs,N/A,Civil Engineering Laboratory,In Stock,Available,,Civil Engineering Laboratory,1,2026-01-04 09:48:02.4158+00
416,Laptop,N/A,1,pcs,N/A,Civil Engineering Laboratory,In Stock,Available,,Civil Engineering Laboratory,1,2026-01-04 09:48:02.4158+00
417,Desktop Computer,N/A,1,pcs,N/A,Civil Engineering Laboratory,In Stock,Available,,Civil Engineering Laboratory,1,2026-01-04 09:48:02.4158+00
418,Printer,N/A,1,pcs,N/A,Civil Engineering Laboratory,In Stock,Available,,Civil Engineering Laboratory,1,2026-01-04 09:48:02.4158+00
419,Projector,N/A,1,pcs,N/A,Civil Engineering Laboratory,In Stock,Available,,Civil Engineering Laboratory,1,2026-01-04 09:48:02.4158+00
420,Whiteboard,N/A,1,pcs,N/A,Civil Engineering Laboratory,In Stock,Available,,Civil Engineering Laboratory,1,2026-01-04 09:48:02.4158+00
421,Office Desk,N/A,1,pcs,N/A,Civil Engineering Laboratory,In Stock,Available,,Civil Engineering Laboratory,1,2026-01-04 09:48:02.4158+00
422,Office Chair,N/A,1,pcs,N/A,Civil Engineering Laboratory,In Stock,Available,,Civil Engineering Laboratory,1,2026-01-04 09:48:02.4158+00
423,File Cabinet,N/A,1,pcs,N/A,Civil Engineering Laboratory,In Stock,Available,,Civil Engineering Laboratory,1,2026-01-04 09:48:02.4158+00
424,Bookshelf,N/A,1,pcs,N/A,Civil Engineering Laboratory,In Stock,Available,,Civil Engineering Laboratory,1,2026-01-04 09:48:02.4158+00
425,Safety Helmet,N/A,10,pcs,N/A,Civil Engineering Laboratory,In Stock,Available,,Civil Engineering Laboratory,10,2026-01-04 09:48:02.4158+00
426,Safety Vest,N/A,10,pcs,N/A,Civil Engineering Laboratory,In Stock,Available,,Civil Engineering Laboratory,10,2026-01-04 09:48:02.4158+00
427,Safety Shoes,N/A,10,pairs,N/A,Civil Engineering Laboratory,In Stock,Available,,Civil Engineering Laboratory,10,2026-01-04 09:48:02.4158+00
428,Safety Goggles,N/A,10,pcs,N/A,Civil Engineering Laboratory,In Stock,Available,,Civil Engineering Laboratory,10,2026-01-04 09:48:02.4158+00
429,Ear Plugs,N/A,10,pairs,N/A,Civil Engineering Laboratory,In Stock,Available,,Civil Engineering Laboratory,10,2026-01-04 09:48:02.4158+00
430,Dust Mask,N/A,10,pcs,N/A,Civil Engineering Laboratory,In Stock,Available,,Civil Engineering Laboratory,10,2026-01-04 09:48:02.4158+00
431,First Aid Kit,N/A,1,pcs,N/A,Civil Engineering Laboratory,In Stock,Available,,Civil Engineering Laboratory,1,2026-01-04 09:48:02.4158+00
432,Fire Extinguisher,N/A,1,pcs,N/A,Civil Engineering Laboratory,In Stock,Available,,Civil Engineering Laboratory,1,2026-01-04 09:48:02.4158+00
433,Broom,N/A,1,pcs,N/A,Civil Engineering Laboratory,In Stock,Available,,Civil Engineering Laboratory,1,2026-01-04 09:48:02.4158+00
434,Dustpan,N/A,1,pcs,N/A,Civil Engineering Laboratory,In Stock,Available,,Civil Engineering Laboratory,1,2026-01-04 09:48:02.4158+00
435,Trash Bin,N/A,1,pcs,N/A,Civil Engineering Laboratory,In Stock,Available,,Civil Engineering Laboratory,1,2026-01-04 09:48:02.4158+00
436,Mop,N/A,1,pcs,N/A,Civil Engineering Laboratory,In Stock,Available,,Civil Engineering Laboratory,1,2026-01-04 09:48:02.4158+00
437,Bucket,N/A,1,pcs,N/A,Civil Engineering Laboratory,In Stock,Available,,Civil Engineering Laboratory,1,2026-01-04 09:48:02.4158+00
438,Cleaning Cloth,N/A,10,pcs,N/A,Civil Engineering Laboratory,In Stock,Available,,Civil Engineering Laboratory,10,2026-01-04 09:48:02.4158+00
439,Detergent,N/A,1,bottle,N/A,Civil Engineering Laboratory,In Stock,Available,,Civil Engineering Laboratory,1,2026-01-04 09:48:02.4158+00
440,Disinfectant,N/A,1,bottle,N/A,Civil Engineering Laboratory,In Stock,Available,,Civil Engineering Laboratory,1,2026-01-04 09:48:02.4158+00
441,Hand Soap,N/A,1,bottle,N/A,Civil Engineering Laboratory,In Stock,Available,,Civil Engineering Laboratory,1,2026-01-04 09:48:02.4158+00
442,Paper Towel,N/A,1,roll,N/A,Civil Engineering Laboratory,In Stock,Available,,Civil Engineering Laboratory,1,2026-01-04 09:48:02.4158+00
443,Toilet Paper,N/A,1,roll,N/A,Civil Engineering Laboratory,In Stock,Available,,Civil Engineering Laboratory,1,2026-01-04 09:48:02.4158+00
444,Logbook,N/A,1,pcs,N/A,Civil Engineering Laboratory,In Stock,Available,,Civil Engineering Laboratory,1,2026-01-04 09:48:02.4158+00
445,Pen,N/A,10,pcs,N/A,Civil Engineering Laboratory,In Stock,Available,,Civil Engineering Laboratory,10,2026-01-04 09:48:02.4158+00
446,Pencil,N/A,10,pcs,N/A,Civil Engineering Laboratory,In Stock,Available,,Civil Engineering Laboratory,10,2026-01-04 09:48:02.4158+00
447,Marker,N/A,5,pcs,N/A,Civil Engineering Laboratory,In Stock,Available,,Civil Engineering Laboratory,5,2026-01-04 09:48:02.4158+00
448,Eraser,N/A,5,pcs,N/A,Civil Engineering Laboratory,In Stock,Available,,Civil Engineering Laboratory,5,2026-01-04 09:48:02.4158+00
449,Ruler,N/A,5,pcs,N/A,Civil Engineering Laboratory,In Stock,Available,,Civil Engineering Laboratory,5,2026-01-04 09:48:02.4158+00
450,Calculator,N/A,5,pcs,N/A,Civil Engineering Laboratory,In Stock,Available,,Civil Engineering Laboratory,5,2026-01-04 09:48:02.4158+00
451,Stapler,N/A,1,pcs,N/A,Civil Engineering Laboratory,In Stock,Available,,Civil Engineering Laboratory,1,2026-01-04 09:48:02.4158+00
452,Staple Wires,N/A,1,box,N/A,Civil Engineering Laboratory,In Stock,Available,,Civil Engineering Laboratory,1,2026-01-04 09:48:02.4158+00
453,Paper Clip,N/A,1,box,N/A,Civil Engineering Laboratory,In Stock,Available,,Civil Engineering Laboratory,1,2026-01-04 09:48:02.4158+00
454,Binder Clip,N/A,1,box,N/A,Civil Engineering Laboratory,In Stock,Available,,Civil Engineering Laboratory,1,2026-01-04 09:48:02.4158+00
455,Folder,N/A,10,pcs,N/A,Civil Engineering Laboratory,In Stock,Available,,Civil Engineering Laboratory,10,2026-01-04 09:48:02.4158+00
456,Envelope,N/A,10,pcs,N/A,Civil Engineering Laboratory,In Stock,Available,,Civil Engineering Laboratory,10,2026-01-04 09:48:02.4158+00
457,Bond Paper,N/A,1,ream,N/A,Civil Engineering Laboratory,In Stock,Available,,Civil Engineering Laboratory,1,2026-01-04 09:48:02.4158+00
458,Tape,N/A,1,roll,N/A,Civil Engineering Laboratory,In Stock,Available,,Civil Engineering Laboratory,1,2026-01-04 09:48:02.4158+00
459,Glue,N/A,1,bottle,N/A,Civil Engineering Laboratory,In Stock,Available,,Civil Engineering Laboratory,1,2026-01-04 09:48:02.4158+00
460,Scissors,N/A,1,pcs,N/A,Civil Engineering Laboratory,In Stock,Available,,Civil Engineering Laboratory,1,2026-01-04 09:48:02.4158+00
461,Cutter,N/A,1,pcs,N/A,Civil Engineering Laboratory,In Stock,Available,,Civil Engineering Laboratory,1,2026-01-04 09:48:02.4158+00
462,Hole Puncher,N/A,1,pcs,N/A,Civil Engineering Laboratory,In Stock,Available,,Civil Engineering Laboratory,1,2026-01-04 09:48:02.4158+00
463,Fastener,N/A,1,box,N/A,Civil Engineering Laboratory,In Stock,Available,,Civil Engineering Laboratory,1,2026-01-04 09:48:02.4158+00
464,Rubber Band,N/A,1,box,N/A,Civil Engineering Laboratory,In Stock,Available,,Civil Engineering Laboratory,1,2026-01-04 09:48:02.4158+00
